X_COORD,Y_COORD
555400,2855000
551800,2854600
552200,2854600
552600,2854600
553000,2854600
553400,2854600
553800,2854600
554200,2854600
554600,2854600
555000,2854600
555400,2854600
551800,2854200
552200,2854200
552600,2854200
553000,2854200
553400,2854200
553800,2854200
554200,2854200
554600,2854200
555000,2854200
555400,2854200
551800,2853800
552200,2853800
552600,2853800
553000,2853800
553400,2853800
553800,2853800
554200,2853800
554600,2853800
555000,2853800
555400,2853800
551800,2853400
552200,2853400
552600,2853400
553000,2853400
553400,2853400
553800,2853400
554200,2853400
554600,2853400
555000,2853400
555400,2853400
551800,2853000
552200,2853000
552600,2853000
553000,2853000
553400,2853000
553800,2853000
554200,2853000
554600,2853000
555000,2853000
555400,2853000
551800,2852600
552200,2852600
552600,2852600
553000,2852600
553400,2852600
553800,2852600
554200,2852600
554600,2852600
555000,2852600
555400,2852600
551800,2852200
552200,2852200
552600,2852200
553000,2852200
553400,2852200
553800,2852200
554200,2852200
554600,2852200
555000,2852200
555400,2852200
551800,2851800
552200,2851800
552600,2851800
553000,2851800
553400,2851800
553800,2851800
554200,2851800
554600,2851800
555000,2851800
555400,2851800
551800,2851400
552200,2851400
552600,2851400
553000,2851400
553400,2851400
553800,2851400
554200,2851400
554600,2851400
555000,2851400
555400,2851400
551800,2851000
552200,2851000
552600,2851000
553000,2851000
553400,2851000
553800,2851000
554200,2851000
554600,2851000
555000,2851000
555400,2851000
551800,2850600
552200,2850600
552600,2850600
553000,2850600
553400,2850600
553800,2850600
554200,2850600
554600,2850600
555000,2850600
555400,2850600
551800,2850200
552200,2850200
552600,2850200
553000,2850200
553400,2850200
553800,2850200
554200,2850200
554600,2850200
555000,2850200
555400,2850200
551800,2849800
552200,2849800
552600,2849800
553000,2849800
553400,2849800
553800,2849800
554200,2849800
554600,2849800
555000,2849800
555400,2849800
551800,2849400
552200,2849400
552600,2849400
553000,2849400
553400,2849400
553800,2849400
554200,2849400
554600,2849400
555000,2849400
555400,2849400
551800,2849000
552200,2849000
552600,2849000
553000,2849000
553400,2849000
553800,2849000
554200,2849000
