X_COORD,Y_COORD
550200,2918200
550600,2918200
551000,2918200
551400,2918200
551800,2918200
552200,2918200
552600,2918200
553000,2918200
553400,2918200
553800,2918200
554200,2918200
554600,2918200
555000,2918200
555400,2918200
555800,2918200
556200,2918200
556600,2918200
557000,2918200
557400,2918200
557800,2918200
558200,2918200
558600,2918200
559000,2918200
559400,2918200
559800,2918200
560200,2918200
560600,2918200
561000,2918200
561400,2918200
561800,2918200
548600,2917800
549000,2917800
549400,2917800
549800,2917800
550200,2917800
550600,2917800
551000,2917800
551400,2917800
551800,2917800
552200,2917800
552600,2917800
553000,2917800
553400,2917800
553800,2917800
554200,2917800
554600,2917800
555000,2917800
555400,2917800
555800,2917800
556200,2917800
556600,2917800
557000,2917800
557400,2917800
557800,2917800
558200,2917800
558600,2917800
559000,2917800
559400,2917800
559800,2917800
560200,2917800
560600,2917800
561000,2917800
561400,2917800
561800,2917800
562200,2917800
548600,2917400
549000,2917400
549400,2917400
549800,2917400
550200,2917400
550600,2917400
551000,2917400
551400,2917400
551800,2917400
552200,2917400
552600,2917400
553000,2917400
553400,2917400
553800,2917400
554200,2917400
554600,2917400
555000,2917400
555400,2917400
555800,2917400
556200,2917400
556600,2917400
557000,2917400
557400,2917400
557800,2917400
558200,2917400
558600,2917400
559000,2917400
559400,2917400
559800,2917400
560200,2917400
560600,2917400
561000,2917400
561400,2917400
561800,2917400
562200,2917400
562600,2917400
563000,2917400
548200,2917000
548600,2917000
549000,2917000
549400,2917000
549800,2917000
550200,2917000
550600,2917000
551000,2917000
551400,2917000
551800,2917000
552200,2917000
552600,2917000
553000,2917000
553400,2917000
553800,2917000
554200,2917000
554600,2917000
555000,2917000
555400,2917000
555800,2917000
556200,2917000
556600,2917000
557000,2917000
557400,2917000
557800,2917000
558200,2917000
558600,2917000
559000,2917000
559400,2917000
559800,2917000
560200,2917000
560600,2917000
561000,2917000
561400,2917000
561800,2917000
562200,2917000
562600,2917000
563000,2917000
563400,2917000
563800,2917000
564200,2917000
564600,2917000
548200,2916600
548600,2916600
549000,2916600
549400,2916600
549800,2916600
550200,2916600
550600,2916600
551000,2916600
551400,2916600
551800,2916600
552200,2916600
552600,2916600
553000,2916600
553400,2916600
553800,2916600
554200,2916600
554600,2916600
555000,2916600
555400,2916600
555800,2916600
556200,2916600
556600,2916600
557000,2916600
557400,2916600
557800,2916600
558200,2916600
558600,2916600
559000,2916600
559400,2916600
559800,2916600
560200,2916600
560600,2916600
561000,2916600
561400,2916600
561800,2916600
562200,2916600
562600,2916600
563000,2916600
563400,2916600
563800,2916600
564200,2916600
564600,2916600
565000,2916600
565400,2916600
565800,2916600
547800,2916200
548200,2916200
548600,2916200
549000,2916200
549400,2916200
549800,2916200
550200,2916200
550600,2916200
551000,2916200
551400,2916200
551800,2916200
552200,2916200
552600,2916200
553000,2916200
553400,2916200
553800,2916200
554200,2916200
554600,2916200
555000,2916200
555400,2916200
555800,2916200
556200,2916200
556600,2916200
557000,2916200
557400,2916200
557800,2916200
558200,2916200
558600,2916200
559000,2916200
559400,2916200
559800,2916200
560200,2916200
560600,2916200
561000,2916200
561400,2916200
561800,2916200
562200,2916200
562600,2916200
563000,2916200
563400,2916200
563800,2916200
564200,2916200
564600,2916200
565000,2916200
565400,2916200
565800,2916200
566200,2916200
566600,2916200
547400,2915800
547800,2915800
548200,2915800
548600,2915800
549000,2915800
549400,2915800
549800,2915800
550200,2915800
550600,2915800
551000,2915800
551400,2915800
551800,2915800
552200,2915800
552600,2915800
553000,2915800
553400,2915800
553800,2915800
554200,2915800
554600,2915800
555000,2915800
555400,2915800
555800,2915800
556200,2915800
556600,2915800
557000,2915800
557400,2915800
557800,2915800
558200,2915800
558600,2915800
559000,2915800
559400,2915800
559800,2915800
560200,2915800
560600,2915800
561000,2915800
561400,2915800
561800,2915800
562200,2915800
562600,2915800
563000,2915800
563400,2915800
563800,2915800
564200,2915800
564600,2915800
565000,2915800
565400,2915800
565800,2915800
566200,2915800
566600,2915800
567000,2915800
567400,2915800
567800,2915800
568200,2915800
547400,2915400
547800,2915400
548200,2915400
548600,2915400
549000,2915400
549400,2915400
549800,2915400
550200,2915400
550600,2915400
551000,2915400
551400,2915400
551800,2915400
552200,2915400
552600,2915400
553000,2915400
553400,2915400
553800,2915400
554200,2915400
554600,2915400
555000,2915400
555400,2915400
555800,2915400
556200,2915400
556600,2915400
557000,2915400
557400,2915400
557800,2915400
558200,2915400
558600,2915400
559000,2915400
559400,2915400
559800,2915400
560200,2915400
560600,2915400
561000,2915400
561400,2915400
561800,2915400
562200,2915400
562600,2915400
563000,2915400
563400,2915400
563800,2915400
564200,2915400
564600,2915400
565000,2915400
565400,2915400
565800,2915400
566200,2915400
566600,2915400
567000,2915400
567400,2915400
567800,2915400
568200,2915400
568600,2915400
569000,2915400
569400,2915400
547000,2915000
547400,2915000
547800,2915000
548200,2915000
548600,2915000
549000,2915000
549400,2915000
549800,2915000
550200,2915000
550600,2915000
551000,2915000
551400,2915000
551800,2915000
552200,2915000
552600,2915000
553000,2915000
553400,2915000
553800,2915000
554200,2915000
554600,2915000
555000,2915000
555400,2915000
555800,2915000
556200,2915000
556600,2915000
557000,2915000
557400,2915000
557800,2915000
558200,2915000
558600,2915000
559000,2915000
559400,2915000
559800,2915000
560200,2915000
560600,2915000
561000,2915000
561400,2915000
561800,2915000
562200,2915000
562600,2915000
563000,2915000
563400,2915000
563800,2915000
564200,2915000
564600,2915000
565000,2915000
565400,2915000
565800,2915000
566200,2915000
566600,2915000
567000,2915000
567400,2915000
567800,2915000
568200,2915000
568600,2915000
569000,2915000
569400,2915000
569800,2915000
570200,2915000
547000,2914600
547400,2914600
547800,2914600
548200,2914600
548600,2914600
549000,2914600
549400,2914600
549800,2914600
550200,2914600
550600,2914600
551000,2914600
551400,2914600
551800,2914600
552200,2914600
552600,2914600
553000,2914600
553400,2914600
553800,2914600
554200,2914600
554600,2914600
555000,2914600
555400,2914600
555800,2914600
556200,2914600
556600,2914600
557000,2914600
557400,2914600
557800,2914600
558200,2914600
558600,2914600
559000,2914600
559400,2914600
559800,2914600
560200,2914600
560600,2914600
561000,2914600
561400,2914600
561800,2914600
562200,2914600
562600,2914600
563000,2914600
563400,2914600
563800,2914600
564200,2914600
564600,2914600
565000,2914600
565400,2914600
565800,2914600
566200,2914600
566600,2914600
567000,2914600
567400,2914600
567800,2914600
568200,2914600
568600,2914600
569000,2914600
569400,2914600
569800,2914600
570200,2914600
546600,2914200
547000,2914200
547400,2914200
547800,2914200
548200,2914200
548600,2914200
549000,2914200
549400,2914200
549800,2914200
550200,2914200
550600,2914200
551000,2914200
551400,2914200
551800,2914200
552200,2914200
552600,2914200
553000,2914200
553400,2914200
553800,2914200
554200,2914200
554600,2914200
555000,2914200
555400,2914200
555800,2914200
556200,2914200
556600,2914200
557000,2914200
557400,2914200
557800,2914200
558200,2914200
558600,2914200
559000,2914200
559400,2914200
559800,2914200
560200,2914200
560600,2914200
561000,2914200
561400,2914200
561800,2914200
562200,2914200
562600,2914200
563000,2914200
563400,2914200
563800,2914200
564200,2914200
564600,2914200
565000,2914200
565400,2914200
565800,2914200
566200,2914200
566600,2914200
567000,2914200
567400,2914200
567800,2914200
568200,2914200
568600,2914200
569000,2914200
569400,2914200
569800,2914200
570200,2914200
546200,2913800
546600,2913800
547000,2913800
547400,2913800
547800,2913800
548200,2913800
548600,2913800
549000,2913800
549400,2913800
549800,2913800
550200,2913800
550600,2913800
551000,2913800
551400,2913800
551800,2913800
552200,2913800
552600,2913800
553000,2913800
553400,2913800
553800,2913800
554200,2913800
554600,2913800
555000,2913800
555400,2913800
555800,2913800
556200,2913800
556600,2913800
557000,2913800
557400,2913800
557800,2913800
558200,2913800
558600,2913800
559000,2913800
559400,2913800
559800,2913800
560200,2913800
560600,2913800
561000,2913800
561400,2913800
561800,2913800
562200,2913800
562600,2913800
563000,2913800
563400,2913800
563800,2913800
564200,2913800
564600,2913800
565000,2913800
565400,2913800
565800,2913800
566200,2913800
566600,2913800
567000,2913800
567400,2913800
567800,2913800
568200,2913800
568600,2913800
569000,2913800
569400,2913800
569800,2913800
570200,2913800
546200,2913400
546600,2913400
547000,2913400
547400,2913400
547800,2913400
548200,2913400
548600,2913400
549000,2913400
549400,2913400
549800,2913400
550200,2913400
550600,2913400
551000,2913400
551400,2913400
551800,2913400
552200,2913400
552600,2913400
553000,2913400
553400,2913400
553800,2913400
554200,2913400
554600,2913400
555000,2913400
555400,2913400
555800,2913400
556200,2913400
556600,2913400
557000,2913400
557400,2913400
557800,2913400
558200,2913400
558600,2913400
559000,2913400
559400,2913400
559800,2913400
560200,2913400
560600,2913400
561000,2913400
561400,2913400
561800,2913400
562200,2913400
562600,2913400
563000,2913400
563400,2913400
563800,2913400
564200,2913400
564600,2913400
565000,2913400
565400,2913400
565800,2913400
566200,2913400
566600,2913400
567000,2913400
567400,2913400
567800,2913400
568200,2913400
568600,2913400
569000,2913400
569400,2913400
569800,2913400
570200,2913400
546200,2913000
546600,2913000
547000,2913000
547400,2913000
547800,2913000
548200,2913000
548600,2913000
549000,2913000
549400,2913000
549800,2913000
550200,2913000
550600,2913000
551000,2913000
551400,2913000
551800,2913000
552200,2913000
552600,2913000
553000,2913000
553400,2913000
553800,2913000
554200,2913000
554600,2913000
555000,2913000
555400,2913000
555800,2913000
556200,2913000
556600,2913000
557000,2913000
557400,2913000
557800,2913000
558200,2913000
558600,2913000
559000,2913000
559400,2913000
559800,2913000
560200,2913000
560600,2913000
561000,2913000
561400,2913000
561800,2913000
562200,2913000
562600,2913000
563000,2913000
563400,2913000
563800,2913000
564200,2913000
564600,2913000
565000,2913000
565400,2913000
565800,2913000
566200,2913000
566600,2913000
567000,2913000
567400,2913000
567800,2913000
568200,2913000
568600,2913000
569000,2913000
569400,2913000
569800,2913000
